Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8132998,In a Grove,Ryūnosuke Akutagawa,"Akutagawa, Ryūnosuke",Michael Brase,"=""""","=""""",4,4.15,,Kindle Edition,14,,1922,2021/05/12,2021/05/10,"short-story, japanese, on-kindle, kindle-store","short-story (#6), japanese (#5), on-kindle (#228), kindle-store (#91)",read,,,,2,,,0,,,,,
24289242,I too had a Dream,Verghese Kurien,"Kurien, Verghese",Gouri Salvi,"=""""","=""""",0,4.38,Roli Books,Kindle Edition,264,2012,2005,,2021/05/09,currently-reading,currently-reading (#41),currently-reading,,,,1,,,0,,,,,
43701534,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,"=""""","=""""",4,4.16,"Yaknyam Press, Palo Alto, CA",Kindle Edition,179,2019,2018,2021/04/30,2020/06/03,"technical, on-kindle, kindle-store","technical (#69), on-kindle (#227), kindle-store (#90)",read,,,,1,,,0,,,,,
38818195,Eloquent JavaScript: A Modern Introduction to Programming,Marijn Haverbeke,"Haverbeke, Marijn",,"=""""","=""""",0,4.15,,,463,2018,2010,,2021/04/25,currently-reading,currently-reading (#40),currently-reading,,,,1,,,0,,,,,
34023352,The Best We Could Do: An Illustrated Memoir,Thi Bui,"Bui, Thi",,"=""""","=""""",5,4.37,Abrams ComicArts,Kindle Edition,336,2017,2017,2021/04/16,2021/04/16,"comics, short-reads","comics (#7), short-reads (#177)",read,,,,1,,,0,,,,,
56892920,பண்டாரக்கிழவன்,கிருஷ்ண கோபால் [Krishna Gopal],"Gopal], கிருஷ்ண கோபால் [Krishna",,"=""""","=""""",4,4.00,தாலம்,Paperback,144,2011,,2021/04/12,2021/01/30,thamizh,thamizh (#100),read,What would have made the book better.<br/><br/>1) An introduction to readers who are not aware of Ayyavazhi.<br/>2) Keeping the authors bias outside his writings. At places it shows out.<br/>,,,1,,,0,,,,,
13503755,வேங்கையின் மைந்தன் [Vengaiyin Maindhan],Akilan,"Akilan, Akilan",,"=""8189629131""","=""""",2,4.01,Dhagam,Hardcover,832,1961,1961,2021/04/10,2020/08/31,"thamizh, sahitya-akademi, avs-lending-library","thamizh (#99), sahitya-akademi (#16), avs-lending-library (#8)",read,,,,1,,,0,,,,,
23827335,Extreme Programming Explained: Embrace Change,Kent Beck,"Beck, Kent",Cynthia Andres,"=""""","=""""",4,4.10,Addison-Wesley Professional,Kindle Edition,218,2004,1999,2021/04/06,2021/03/25,"on-kindle, kindle-store, technical","on-kindle (#226), kindle-store (#89), technical (#68)",read,,,,1,,,0,,,,,
9904774,The Way of the Bow,Paulo Coelho,"Coelho, Paulo",,"=""""","=""2940012541321""",3,3.66,New Century Books,Nook,0,2010,2003,2011/10/14,2011/10/12,e-book,e-book (#5),read,A very short read. I read it less than two hours.Paulo explains in his own style of story telling. The story is kind of different than his normal other books. It is kind of a chinese movie in which the monk gives advice to his discipline.,,,1,,,0,,,,,
22449045,செம்மீன் (CHEMMEEN),Thakazhi Sivasankara Pillai,"Pillai, Thakazhi Sivasankara",சுந்தர ராமசாமி [Sundara Ramasamy],"=""8126007133""","=""""",0,3.96,Sahitya Academi,Paperback,350,2007,1956,,2021/03/21,currently-reading,currently-reading (#39),currently-reading,,,,1,,,0,,,,,
49003720,Deivam Enbathor (Essays),தொ. பரமசிவன் [Tho.Paramasivan],"[Tho.Paramasivan], தொ. பரமசிவன்",,"=""""","=""""",5,4.44,"Kalachuvadu Publications Pvt. Ltd.,",Kindle Edition,,,,2021/03/28,2021/01/19,"thamizh, essays","thamizh (#98), essays (#6)",read,"S. Ra once I mentioned, he reads books, to get answers. This book answered some of the questions for me.",,,1,,,0,,,,,
34961344,எதற்காக எழுதுகிறேன்?,C.S. Chellappa,"Chellappa, C.S.",,"=""""","=""9789384915124""",4,3.60,சந்தியா பதிப்பகம்,Paperback,112,2012,,2021/03/21,2021/03/15,thamizh,thamizh (#97),read,,,,1,,,0,,,,,
39282200,கடலுக்கு அப்பால் | KADALUKKU APPAAL: நாவல் | NOVEL,ப. சிங்காரம் (P. Singaram),"Singaram), ப. சிங்காரம் (P.",,"=""""","=""""",0,4.21,டிஸ்கவரி புக் பேலஸ்,Kindle Edition,,2018,1959,,2021/03/14,currently-reading,currently-reading (#38),currently-reading,,,,1,,,0,,,,,
56644493,மானுட வாசிப்பு - தொ.ப.வின் தெறிப்புகள்,ஏ. சண்முகானந்தம்,"சண்முகானந்தம், ஏ.",தயாளன்,"=""""","=""""",4,4.40,,Paperback,120,2016,,2021/03/11,2021/03/07,"thamizh, interviews","thamizh (#96), interviews (#2)",read,,,,1,,,0,,,,,
42516966,No Hard Feelings: Emotions at Work and How They Help Us Succeed,Liz Fosslien,"Fosslien, Liz",Mollie West Duffy,"=""""","=""""",0,4.06,Penguin,Kindle Edition,304,2019,2019,,2021/03/09,currently-reading,currently-reading (#37),currently-reading,,,,1,,,0,,,,,
